ID,Chla,Precip,Depth,Area,WRT,Vol,TNLA,TrophicIndex,En/Lin-N,De/Lin-N,ln(En/Lin)-N,ln(De/Lin)-N,En/Lin-P,De/Lin-P,ln(En/Lin)-P,ln(De/Lin)-P,ln(En/De) of N,ln(En/De) of P,Long,Lat
833,2.5,1446.061829,15,134.03,183.1,2004400000,29.2624,2,0.000981888,0.103127539,-6.926033808,-2.271788814,0.001844655,0.181793327,-6.295463271,-1.7048848,-4.654244994,-4.59057847,-92.7532,36.4651
835,39.3,760.6389714,11.3,118.06,719.7,1338300000,32.7897,4,0.00750836,0.437989309,-4.891738264,-0.825560778,0.008090675,0.51252566,-4.817043086,-0.668404501,-4.066177487,-4.148638585,-114.4329,36.173
836,15.05,767.5629714,13.7,156.51,813.5,2150000000,31.8151,3,0.003003197,0.367498849,-5.808077814,-1.001035093,0.004031081,0.440474011,-5.513720674,-0.819903834,-4.807042722,-4.69381684,-92.1687,35.5405
839,9.6,1150.9368,20.6,380.2,1022.2,7815600000,30.802,3,0.001056731,0.3036161,-6.852575032,-1.191991206,0.001427356,0.350111397,-6.551931678,-1.049503899,-5.660583826,-5.502427779,-76.1866,35.5056
842,9.95,1990.572685,1.5,236.99,24.9,366990000,30.8755,3,0.002082471,0.032029153,-6.174200326,-3.441108772,0.003187467,0.083549908,-5.748528771,-2.482311122,-2.733091554,-3.266217649,-94.903,35.3613
848,3.8,530.9026285,48.1,131.53,429.9,6330000000,33.5428,2,0.000557093,0.181560421,-7.492779193,-1.706166783,0.001214528,0.264866257,-6.713400118,-1.328530269,-5.786612409,-5.384869848,-95.5953,35.2689
870,1.529,4105.964342,72.2,122.74,3705.2,8855810000,23.0383,1,0.000836988,0.763026133,-7.085700343,-0.270462998,0.000520246,0.690215014,-7.561209584,-0.370752116,-6.815237345,-7.190457468,-88.0496,34.8918
1117,189,902.9433143,5.4,640.85,360.8,3428880000,16.7573,4,0.002956698,0.145730167,-5.823682224,-1.925998535,0.001895786,0.203275578,-6.2681217,-1.593192693,-3.897683689,-4.674929008,-89.6757,34.4683
1164,48.65,923.3380572,7.6,259.79,736.7,1986670000,17.8964,4,0.007564436,0.32866251,-4.884297536,-1.112723859,0.004704346,0.386687527,-5.359268468,-0.950138335,-3.771573678,-4.409130133,-83.9604,34.2588
1171,28.3,914.1110857,5.4,215.25,45.7,1170000000,19.4297,3,0.001599177,0.049442682,-6.438266295,-3.006941211,0.001825247,0.112600449,-6.306039758,-2.183909574,-3.431325084,-4.122130184,-81.3664,34.0721
1218,0.5,413.4909714,10.3,244.62,10411.4,2524120000,11.588,1,0.004383109,1.151437418,-5.429996942,0.141011091,0.001341825,0.836267398,-6.613724399,-0.178806863,-5.571008033,-6.434917535,-96.6852,33.899
1224,6.3,328.6592,9.7,284.43,6592.1,2750960000,14.3083,2,0.00590418,0.805885689,-5.132094645,-0.215813371,0.004190453,0.648953331,-5.474946502,-0.432394473,-4.916281274,-5.042552028,-89.6937,33.8448
1230,52,302.0125715,7.7,125.79,231.9,968590000,17.0442,4,0.008369751,0.203758632,-4.783131156,-1.590819162,0.006162262,0.306662043,-5.089311291,-1.182008976,-3.192311994,-3.907302315,-115.8174,33.3145
1231,1,553.4324572,13.8,208.35,30746.8,2874360000,10.357,1,0.007497623,2.486840244,-4.893169213,0.911012926,0.001905237,1.417975699,-6.263149102,0.34923029,-5.804182139,-6.612379393,-107.1662,33.3081
1243,1.8,1454.818858,93.9,522.02,1626.2,49000000000,20.8831,1,0.000108595,0.255547385,-9.12788477,-1.364347426,8.09E-05,0.282856159,-9.421840672,-1.262816784,-7.763537344,-8.159023888,-95.9889,32.8799
1244,26.1,715.5309714,1.9,119,4.7,228600000,24.9065,3,0.001766008,0.014013355,-6.339033673,-4.267744466,0.002830948,0.052393348,-5.867143806,-2.948975636,-2.071289207,-2.91816817,-85.9085,32.7811
1248,0.8,1881.192343,119.8,109.72,1634.1,13148990000,20.0213,1,0.000441332,0.466243619,-7.725712581,-0.763046995,0.00030753,0.504820734,-8.086938253,-0.683551896,-6.962665586,-7.403386357,-96.1334,32.2962
1249,2.3,1144.131543,18.7,210.29,791.6,3927920000,20.9892,2,0.001401375,0.226117623,-6.570301277,-1.486699959,0.001720393,0.289976688,-6.365202594,-1.237954744,-5.083601318,-5.12724785,-96.2421,31.9879
1261,5.3,1248.207085,155.7,571.63,3958.7,89000000000,22.9792,2,0.000208479,0.441706631,-8.475673186,-0.817109349,0.000300385,0.40196974,-8.110444177,-0.911378468,-7.658563837,-7.199065709,-94.2381,31.2037
1278,11,258.5045714,6.8,277.88,17083.2,1878930000,18.5837,3,0.017659086,2.161156098,-4.036504833,0.770643309,0.010769641,1.330128395,-4.531024097,0.285275475,-4.807148143,-4.816299572,-90.5018,30.2522
1288,29.5,330.2315429,4.2,114.13,1356.9,478670000,20.1052,3,0.01723774,0.579709763,-4.060654118,-0.545227709,0.013789313,0.61777048,-4.28386142,-0.481638282,-3.515426408,-3.802223138,-92.7509,29.8946
1310,0.1,478.2221714,67.9,353.82,17923.9,24016120000,21.2468,1,0.000626651,1.426009729,-7.375120458,0.354880145,0.000350958,0.922859558,-7.954842646,-0.080278214,-7.730000603,-7.874564432,-101.1337,29.5023
1312,2.8,475.7434285,88,262.6,17289.3,23116470000,20.5687,2,0.00152221,1.561475931,-6.487591795,0.445631483,0.001564353,1.014553744,-6.460283059,0.014448854,-6.933223278,-6.474731914,-81.626,28.624
1317,8.8,1360.287085,36,121.66,5113.3,4375000000,27.0806,3,0.00493999,1.347438915,-5.310391969,0.298205691,0.005295994,1.071291682,-5.240804592,0.0688651,-5.60859766,-5.309669692,-91.1943,14.6958
1321,28.6,225.2768,9.7,118.17,121.4,1146210000,28.2281,3,0.002236438,0.11791389,-6.102870788,-2.13780067,0.003267063,0.214555668,-5.723863928,-1.539186052,-3.965070118,-4.184677876,-48.1471,-13.5239
1323,17.867,1515.880115,13.1,118.62,2850.6,1559000000,25.3655,3,0.008681928,0.928328675,-4.746511608,-0.074369433,0.008428084,0.839749377,-4.776185856,-0.174651793,-4.672142175,-4.601534063,-48.3077,-22.6175
1330,0.1,150.9574858,50.6,397.05,59117.1,20098880000,3.0541,1,0.025338256,2.978526649,-3.675439922,1.091428765,0.0004212,1.48222018,-7.772402159,0.393541086,-4.766868687,-8.165943244,-52.8098,-33.1489
1334,831.5,261.8378286,1.1,124.56,387.8,137170000,24.1946,4,0.03868853,0.286317251,-3.252212101,-1.250654813,0.027366011,0.384487471,-3.598453527,-0.955844076,-2.001557288,-2.642609451,-71.5089,-40.9695
1340,3.807,238.5312,49.6,455.78,55046.4,22591050000,25.0814,2,0.001991997,2.696228788,-6.218617502,0.991854052,0.002088465,1.365635079,-6.171325909,0.31161958,-7.210471554,-6.482945489,26.5982,68.0756
1358,113.3,961.3996572,97.1,284.65,572.3,27630000000,10.8776,4,0.001435532,0.269018922,-6.546219696,-1.31297356,0.000705423,0.335129196,-7.25671329,-1.093239162,-5.233246136,-6.163474129,27.5814,67.9323
1361,65.332,1652.7912,7,168.26,513.6,1182900000,28.893,4,0.007059547,0.306614697,-4.953374436,-1.182163377,0.006890398,0.388473857,-4.977626495,-0.945529403,-3.771211058,-4.032097092,28.6457,66.1488
1417,34.075,1495.906514,72.9,286.45,241.2,20890000000,28.7516,4,0.000490224,0.152487453,-7.620649137,-1.880672961,0.000678923,0.230038075,-7.295002861,-1.46951044,-5.739976176,-5.825492421,29.1274,65.0444
1436,5.9,1917.238742,3.7,206.35,849,756860000,25.5945,2,0.004185724,0.238437337,-5.476075545,-1.433648743,0.005286546,0.300995467,-5.242590231,-1.200660073,-4.042426802,-4.041930158,27.2111,64.3538
1438,13.2,1792.6728,1.7,124.24,143.5,213590000,31.196,3,0.007904423,0.129045225,-4.840332741,-2.047592356,0.010425014,0.226425062,-4.563547166,-1.48534124,-2.792740385,-3.078205926,29.1758,64.125
1458,1.633,2048.892571,7.4,302.36,951.7,2252430000,31.065,1,0.000698332,0.221918565,-7.266815903,-1.505444788,0.000613738,0.27455339,-7.395941871,-1.292609537,-5.761371114,-6.103332334,25.9352,63.5877
1467,4,2105.411543,50.9,424.57,672.6,21626000000,31.1327,2,0.000213554,0.155252633,-8.451621305,-1.862701602,0.000446453,0.208370365,-7.714176516,-1.568438183,-6.588919703,-6.145738333,23.6713,63.1483
1479,13.3,1511.807543,40,242.26,3500.9,9680600000,22.4304,3,0.00242271,0.80753994,-6.022868529,-0.213762764,0.002165766,0.704719984,-6.1349811,-0.349954741,-5.809105765,-5.785026359,25.7935,63.279
1483,84.322,1949.802743,19.7,298.34,1540.3,5862520000,23.1446,4,0.00396141,0.504973238,-5.531155156,-0.683249845,0.002943367,0.505535121,-5.828201134,-0.682137766,-4.847905311,-5.146063368,30.7334,62.9604
1485,2.5,1927.053714,65.3,215.37,11584.3,14055460000,23.1446,2,0.001864661,1.296521279,-6.284676192,0.259684738,0.001991692,0.918067239,-6.218770554,-0.085484646,-6.544360931,-6.133285908,29.6296,63.2539
1962,1,302.3266285,1.3,21.17,4147.3,27950000,5.3326,1,0.298672961,1.611601147,-1.20840608,0.477228186,0.035948405,1.388685233,-3.325670568,0.328357424,-1.685634266,-3.654027992,26.8275,62.8148
1970,7.35,318.4859429,2.2,16.41,612.2,35280000,5.3233,3,0.395851851,0.724547607,-0.926715251,-0.322207809,0.089360697,0.897242409,-2.415074325,-0.108429209,-0.604507442,-2.306645115,29.3063,62.7185
1975,3.467,310.2156571,1.6,17.24,2230.9,26980000,5.3326,2,0.506712434,1.162201441,-0.679811627,0.150316,0.122777502,1.145679366,-2.097381492,0.135997794,-0.830127627,-2.233379285,26.1245,62.8539
1979,13.2,312.5249143,2.1,13.87,2002,29410000,5.3326,3,0.852726647,1.677730834,-0.159316244,0.517442187,0.167103246,1.594521951,-1.789143418,0.466573974,-0.676758431,-2.255717392,28.6873,62.6781
1996,1.8,310.3517714,1.4,17.09,1094.6,23830000,5.3233,1,0.184981987,0.731865939,-1.687496828,-0.312157925,0.0258126,0.844580184,-3.65689255,-0.168915599,-1.375338903,-3.487976951,24.6684,62.1483
2397,1.2,567.8732572,27.8,12.93,2865.1,359190000,3.411,1,0.064211377,1.528553927,-2.745574877,0.424322143,0.006468006,1.420104681,-5.040887477,0.350730588,-3.16989702,-5.391618065,27.0705,61.9924
2664,1,665.6532571,56.8,38.12,3832.2,2164730000,8.0387,1,0.006889343,1.221391752,-4.977779494,0.199990989,0.001739957,1.079527552,-6.353894897,0.076523494,-5.177770483,-6.43041839,26.7156,61.2252
2698,1.6,659.2669715,31,15.51,4826,479930000,10.958,1,0.021040797,2.0050768,-3.861292033,0.695682364,0.006923227,1.663738422,-4.972873222,0.509067131,-4.556974397,-5.481940354,24.428,61.5668
3413,1,441.2752,10.4,23.96,182.6,248540000,9.3253,1,0.006952648,0.199216644,-4.968632634,-1.613362385,0.002785371,0.343354777,-5.883374212,-1.068991032,-3.355270249,-4.814383179,24.1254,61.177
3567,5.7,752.2182857,31.5,50.53,1372.7,1591590000,12.8486,2,0.0070524,0.560034126,-4.954387255,-0.579757558,0.005666076,0.623703096,-5.173258492,-0.472080832,-4.374629697,-4.701177661,15.7697,59.2387
3815,1.6,662.5238857,25,16.95,1193.3,424280000,7.7689,1,0.017755575,0.776839692,-4.031055728,-0.252521267,0.004183448,0.87940626,-5.476619567,-0.128508303,-3.778534461,-5.348111264,26.0466,58.291
4251,3.9,902.1133715,8.2,12.22,427.3,99910000,12.0735,2,0.052548813,0.449803655,-2.946012765,-0.798944114,0.034201429,0.636418923,-3.375487863,-0.451898249,-2.14706865,-2.923589615,36.7051,56.7034
4256,9.3,693.9274285,34,14.18,404.8,482480000,10.6515,3,0.03025252,0.584596907,-3.498175801,-0.536832717,0.015526339,0.791829204,-4.165217422,-0.233409562,-2.961343084,-3.93180786,-7.9715,53.5443
4319,1.25,711.968,33.8,24.86,382.1,839610000,8.1997,1,0.006065634,0.318406431,-5.105116237,-1.144426626,0.001553868,0.466229622,-6.467008177,-0.763077016,-3.960689611,-5.703931161,-7.9715,53.5443
4621,0.9,826.1609143,51.5,15.96,965.6,821100000,10.9831,1,0.007556418,0.692142932,-4.88535807,-0.367962795,0.002634824,0.820475822,-5.938939019,-0.197870836,-4.517395275,-5.741068183,-7.9715,53.5443
4674,1.9,627.0154285,2.7,10.69,1273.2,29040000,11.3701,1,0.098072102,0.967195269,-2.322052341,-0.033354871,0.030039049,1.072626766,-3.505257123,0.070110561,-2.288697469,-3.575367684,-7.9715,53.5443
6245,3.4,885.0626286,12,12.02,1757.4,144250000,19.0091,2,0.049839732,1.141723366,-2.998942779,0.132538845,0.047864115,1.180815762,-3.039389227,0.166205523,-3.131481624,-3.20559475,-9.2462,53.4468
8186,0.5,609.3995429,97.6,11.77,974,1148550000,14.3096,1,0.005164054,0.782300247,-5.266033259,-0.245516664,0.002384897,0.921792114,-6.038599435,-0.081435554,-5.020516595,-5.957163881,-9.2462,53.4468
8191,0.8,864.9553142,32.5,12.64,730.6,410760000,16.3886,1,0.008104678,0.63066227,-4.81531387,-0.46098479,0.004191138,0.792733966,-5.474782881,-0.232267592,-4.354329081,-5.242515289,-9.2462,53.4468
8197,1.6,469.3289143,82,25.55,8183.4,2095690000,18.0896,1,0.005838475,2.339098355,-5.143285565,0.849765537,0.002851535,1.738306941,-5.85989783,0.552911617,-5.993051102,-6.412809447,-9.2462,53.4468
8256,2.2,551.5180572,5.1,18.64,266.6,95000000,17.6432,2,0.02975032,0.280975997,-3.514915385,-1.269486033,0.027009166,0.443836904,-3.611579,-0.812298117,-2.245429353,-2.799280883,-9.2462,53.4468
8282,30.5,821.7308572,5.5,10.1,25.3,55500000,21.9025,4,0.039724856,0.125791604,-3.225778202,-2.07312868,0.038924943,0.298918467,-3.246120031,-1.207584427,-1.152649522,-2.038535605,-8.3445,52.9519
8298,0.2,633.3068572,47.6,27.08,3043.1,1289130000,10.2601,1,0.009210802,1.197546841,-4.687378332,0.180275166,0.002511552,1.108791684,-5.986854197,0.103270849,-4.867653497,-6.090125046,-8.3445,52.9519
8307,12.7,1057.570057,1.4,26.31,298.4,35710000,21.0212,3,0.082693441,0.377804969,-2.492614988,-0.973377171,0.066273658,0.552051981,-2.713962781,-0.594113068,-1.519237817,-2.119849712,-8.3445,52.9519
8313,32.168,791.5994286,13.2,21.25,323.3,280500000,22.3514,4,0.032814153,0.500813214,-3.416895363,-0.691522073,0.027401977,0.683729022,-3.597140104,-0.380193607,-2.72537329,-3.216946496,-8.3445,52.9519
8333,272,545.1861714,1.9,15.9,3292.7,30720000,24.6822,4,0.535204708,2.555119807,-0.625105974,0.938099114,0.302897147,2.078327899,-1.194361981,0.731563676,-1.563205088,-1.925925657,-8.3445,52.9519
8343,57.6,484.9220572,27,65.14,671.4,1757100000,22.277,4,0.009033261,0.52572516,-4.706841862,-0.642976712,0.007650531,0.61975688,-4.87298017,-0.478428007,-4.063865151,-4.394552163,3.9862,51.7402
8351,2.04,1219.105829,12.9,11.41,67.5,146610000,19.3662,2,0.010547625,0.138077491,-4.55185454,-1.979940224,0.014526263,0.293711828,-4.231797017,-1.22515617,-2.571914316,-3.006640848,91.0194,50.1539
8358,40.956,857.3443428,1,13.74,132.2,14400000,21.8344,4,0.235909659,0.329766982,-1.44430635,-1.109368989,0.161588456,0.545603242,-1.822702571,-0.605863231,-0.334937362,-1.21683934,90.5588,49.4952
8369,58.689,871.5362286,1.9,17.88,93.9,33810000,21.7661,4,0.095068087,0.238313432,-2.353161938,-1.434168529,0.072791911,0.426830875,-2.620150448,-0.851367422,-0.918993409,-1.768783026,93.4652,48.9055
8373,0.5,528.9769142,3.1,10.96,292.4,34000000,17.6446,1,0.033471716,0.365895852,-3.397054484,-1.005406542,0.016059625,0.562248125,-4.131446919,-0.575812024,-2.391647942,-3.555634896,97.3147,48.8338
8382,4.7,722.4627428,35.8,29.06,874.3,1039310000,17.2689,2,0.007985307,0.515431265,-4.830151996,-0.662751321,0.007605096,0.629638505,-4.878936772,-0.462609425,-4.167400675,-4.416327347,117.7015,47.8137
8387,3.1,1177.211657,6.6,15,1297.8,98560000,18.9304,2,0.056326552,0.860077625,-2.876589231,-0.150732632,0.050982619,0.954132524,-2.976270506,-0.046952703,-2.725856599,-2.929317803,9.382,47.6115
8391,6.8,1127.6016,13.2,10.63,1205.8,140020000,18.9304,2,0.0452825,0.935400617,-3.094834628,-0.066780374,0.043910819,1.049857323,-3.125594545,0.048654272,-3.028054254,-3.174248817,20.6559,47.5861
8401,0.6,571.4462857,105.1,19.86,3749.5,2087270000,16.3852,1,0.004987284,1.546127961,-5.300863905,0.435753716,0.002280478,1.361183693,-6.083370018,0.308354684,-5.736617621,-6.391724702,87.2881,47.2568
8409,6.1,1156.780457,10.7,11.43,41.8,122640000,19.0229,2,0.009790461,0.100847975,-4.626346774,-2.294141095,0.013724532,0.238542834,-4.288570368,-1.433206388,-2.33220568,-2.85536398,8.4588,46.9917
8425,0.9,936.2563428,12.2,16.19,2255,197750000,22.8433,1,0.016936235,1.198945566,-4.07829985,0.181442475,0.009792271,1.178096825,-4.626161846,0.163900276,-4.259742325,-4.790062122,6.8563,46.9033
8429,1.2,436.2470857,21.4,23.07,8.7,493400000,20.6482,1,0.000595671,0.027589549,-7.425821611,-3.590318248,0.000624398,0.093260488,-7.378722149,-2.372358758,-3.835503362,-5.006363391,6.5292,46.4177
8433,4.3,1155.292914,9.7,22.41,65.5,216830000,19.6116,2,0.006571057,0.104510457,-5.025080564,-2.258468141,0.009062583,0.22583479,-4.703601089,-1.487951563,-2.766612423,-3.215649526,99.1299,45.5932
8438,58.504,899.8845714,9.6,28.72,362.9,274910000,22.1341,4,0.032999628,0.481213863,-3.411258995,-0.731443487,0.026339288,0.642971601,-3.636693609,-0.441654723,-2.679815509,-3.195038887,100.7311,45.057
8448,11.771,238.7218285,6.9,18.83,6.7,129600000,21.5133,3,0.005569817,0.035836358,-5.190393107,-3.328792311,0.008026461,0.120836581,-4.825011601,-2.11331622,-1.861600796,-2.711695381,126.9427,43.5488
