Id,Chla,Depth,Area,WRT,Vol,T
1171,28.3,5.4,215.25,45.7,1170,16.178056
1218,0.5,10.3,244.62,10411.4,2524.12,9.708443
1224,6.3,9.7,284.43,6592.1,2750.96,12.140856
1230,52,7.7,125.79,231.9,968.59,15.400895
1231,1,13.8,208.35,30746.8,2874.36,8.678957
1239,1.5,6.6,370.35,-1,2443.93,#N/A
1243,1.8,93.9,522.02,1626.2,49000,16.601962
1244,26.1,1.9,119,4.7,228.6,21.153905
1248,0.8,119.8,109.72,1634.1,13148.99,15.814708
1249,2.3,18.7,210.29,791.6,3927.92,16.66252
1261,5.3,155.7,571.63,3958.7,89000,18.620562
1278,11,6.8,277.88,17083.2,1878.93,16.490939
1288,29.5,4.2,114.13,1356.9,478.67,17.893866
1310,0.1,67.9,353.82,17923.9,24016.12,17.358937
1312,2.8,88,262.6,17289.3,23116.47,16.743264
1317,8.8,36,121.66,5113.3,4375,23.596411
1321,28.6,9.7,118.17,121.4,1146.21,24.252456
1323,17.867,13.1,118.62,2850.6,1559,21.880601
1330,0.1,50.6,397.05,59117.1,20098.88,0.241209
1334,831.5,1.1,124.56,387.8,137.17,20.447395
1340,3.807,49.6,455.78,55046.4,22591.05,21.40623
1358,113.3,97.1,284.65,572.3,27630,7.215472
1361,65.332,7,168.26,513.6,1182.9,24.757106
1407,38.8,2.7,193.38,3890.7,515.32,#N/A
1414,17.6,23.5,162.06,2714.3,3800.27,#N/A
1417,34.075,72.9,286.45,241.2,20890,24.767199
1436,5.9,3.7,206.35,849,756.86,21.678741
1438,13.2,1.7,124.24,143.5,213.59,27.451937
1458,1.633,7.4,302.36,951.7,2252.43,27.239984
1467,4,50.9,424.57,672.6,21626,27.209705
1479,13.3,40,242.26,3500.9,9680.6,16.945124
1483,84.322,19.7,298.34,1540.3,5862.52,17.419495
1485,2.5,65.3,215.37,11584.3,14055.46,17.419495
1962,1,1.3,21.17,4147.3,27.95,3.793945
1970,7.35,2.2,16.41,612.2,35.28,3.773759
1975,3.467,1.6,17.24,2230.9,26.98,3.793945
1979,13.2,2.1,13.87,2002,29.41,3.793945
1996,1.8,1.4,17.09,1094.6,23.83,3.773759
2397,1.2,27.8,12.93,2865.1,359.19,1.946926
2664,1,56.8,38.12,3832.2,2164.73,5.681336
2698,1.6,31,15.51,4826,479.93,9.284537
3413,1,10.4,23.96,182.6,248.54,8.416539
3567,5.7,31.5,50.53,1372.7,1591.59,10.445232
3815,1.6,25,16.95,1193.3,424.28,5.075756
4251,3.9,8.2,12.22,427.3,99.91,8.58812
4256,9.3,34,14.18,404.8,482.48,7.07417
4319,1.25,33.8,24.86,382.1,839.61,4.520641
4621,0.9,51.5,15.96,965.6,821.1,7.387053
4674,1.9,2.7,10.69,1273.2,29.04,9.829559
6245,3.4,12,12.02,1757.4,144.25,16.470753
8186,0.5,97.6,11.77,974,1148.55,9.849745
8191,0.8,32.5,12.64,730.6,410.76,12.595041
8197,1.6,82,25.55,8183.4,2095.69,14.250293
8256,2.2,5.1,18.64,266.6,95,12.817087
8282,30.5,5.5,10.1,25.3,55.5,18.792143
8298,0.2,47.6,27.08,3043.1,1289.13,6.297009
8307,12.7,1.4,26.31,298.4,35.71,17.782843
8313,32.168,13.2,21.25,323.3,280.5,19.105026
8333,272,1.9,15.9,3292.7,30.72,21.375951
8343,57.6,27,65.14,671.4,1757.1,18.711399
8351,2.04,12.9,11.41,67.5,146.61,16.127591
8358,40.956,1,13.74,132.2,14.4,18.741678
8369,58.689,1.9,17.88,93.9,33.81,18.650841
8373,0.5,3.1,10.96,292.4,34,13.796108
8382,4.7,35.8,29.06,874.3,1039.31,12.241786
8387,3.1,6.6,15,1297.8,98.56,15.673406
8391,6.8,13.2,10.63,1205.8,140.02,15.673406
8401,0.6,105.1,19.86,3749.5,2087.27,11.444439
8409,6.1,10.7,11.43,41.8,122.64,15.774336
8425,0.9,12.2,16.19,2255,197.75,19.276607
8429,1.2,21.4,23.07,8.7,493.4,16.773543
8433,4.3,9.7,22.41,65.5,216.83,16.218428
8438,58.504,9.6,28.72,362.9,274.91,18.88298
8448,11.771,6.9,18.83,6.7,129.6,17.762657
8450,4.8,1.9,25.7,16.1,48.9,16.218428
8455,14.8,5.4,11.96,3718.6,64.26,17.611262
8463,12.2,4.8,10.44,2108,50.45,17.530518
8482,24.6,4.8,11.26,584.4,54.48,17.611262
8484,59.615,4.2,61.15,2766,258.34,19.135305
8485,3,7.2,24.39,4896.1,176.4,17.530518
8496,12.5,8.1,26.07,314.9,211.45,17.813122
8497,1.8,5.4,13.97,3151.1,75.96,17.813122
8499,6.767,27,14.14,82,381.36,12.494111
8501,3.2,8.7,76.82,578.9,668.16,18.226935
8510,1.3,8.6,16.04,4595.4,137.78,17.954424
8514,5.4,9,18.81,4061.6,169.14,17.813122
8520,2.3,2.7,17.12,582.2,45.88,17.954424
8529,2.1,4.7,10.67,976.5,49.78,17.954424
8535,0.1,32.3,16.67,333.4,539,11.535276
8556,25.95,2.6,23.34,29.4,61.7,22.41553
8557,55.7,11.3,32.35,303.8,365.28,16.218428
8562,20.4,2.3,28.79,334.8,65.54,18.842608
8567,5.4,13.5,47.41,132.3,639.81,16.894659
8577,3.2,6.9,31.66,103.3,218.3,17.97461
8578,3.9,19.7,19.12,24.9,377.4,16.208335
8579,4.1,8.5,23.17,1178.1,197.16,18.660934
8584,1.5,6.1,20.2,3345.9,122.57,18.408609
8589,6,6.8,12.41,1669.2,83.94,18.368237
8599,10.4,2,15.08,177.4,29.6,18.650841
8616,5.3,4.2,12.22,821.4,51.59,18.650841
8617,7.8,3.3,29.72,91.3,97.9,18.17647
8622,30.1,3.2,14.15,1998.2,45.06,19.518839
8629,5.6,5.3,16.38,496.8,86.7,19.518839
8630,1.6,4.5,51.33,358.4,231.5,18.660934
8633,283.2,3.5,60.26,905.3,208.14,18.792143
8638,5.9,2,14.44,121.2,28.6,19.518839
8639,3.35,6.1,34.64,5856.8,210,18.660934
8641,13.5,9,24.06,6988.8,216.17,18.650841
8644,11.213,6,18.7,217.4,113,18.650841
8645,10.05,6.5,52.64,434.2,340.4,17.247914
8658,5.7,4.2,16.23,1454.8,68.88,18.650841
8663,2.7,4.2,10.47,2681.2,44.25,18.47926
8665,3,11.5,16.95,213.1,194.61,15.703685
8668,7.6,4.3,28.77,1238.6,123.6,18.994003
8670,5,7.6,24.54,4758.6,186.25,18.47926
8675,8.2,2.1,44.44,312.8,92.9,18.47926
8680,4.8,12.3,55.8,711.6,687.3,18.994003
8684,3.8,9.4,16.92,427.5,158.24,15.65322
8689,3.3,7,21.98,1075,152.88,18.994003
8699,2.3,21.6,11.98,4201.5,259.19,17.36903
8701,1.7,0.8,41.48,74.2,34.5,16.945124
8703,15.2,8.3,10.54,2585,87.1,18.711399
8704,14.022,2,12.09,184.4,24.3,18.459074
8706,1.6,6,10.35,1093.6,61.7,10.515883
8708,6.3,0.9,15.02,58.5,13,15.875266
8709,3.3,5.7,16.39,569.8,93.79,16.945124
8715,8.6,8.1,18.98,71.2,154.6,15.703685
8716,3.2,3,10.29,599.5,31.39,18.600376
8717,2.6,9.7,18.52,84,180.29,15.844987
8719,9.007,11.7,17.75,1333.7,208.33,15.875266
8723,15.5,4.5,10.51,432.5,46.9,18.237028
8729,12.3,5.9,17.14,3173.3,101.44,18.994003
8730,21.7,4.8,14.93,1480.1,71.61,18.994003
8731,7.5,4.9,60.38,143.8,294.8,16.884566
8736,2.6,11,15.24,1113.8,167.73,16.218428
8738,5.9,15.4,22.39,7606.8,345.7,18.590283
8740,3.5,9.8,13.97,1392.7,137.53,15.875266
8743,3.55,1.2,34.73,65.9,42.9,18.115912
8744,5.3,3.9,10.83,18.7,42.2,17.399309
8747,3,3.5,17.03,336.3,59.3,17.702099
8748,4.5,0.9,25.1,125.5,23,19.014189
8753,2.4,6.2,10.37,534.4,64.59,17.288286
8754,3.8,66.4,14.24,116.6,944.6,16.46066
8755,6.7,5.3,16.68,1141,87.64,19.014189
8757,1.2,7,13.97,81.4,97.73,16.753357
8760,5,10.3,12.32,2815.8,127.48,19.044468
8761,7.2,7.1,13.75,441.6,97.04,17.288286
8766,34.7,4.8,23.45,886.6,113.44,19.014189
8768,7.3,5.1,55.89,127.4,283.7,19.044468
8772,3.5,8.4,21.87,604.2,182.96,17.116705
8774,2.3,13.6,12.74,619.5,172.88,16.692799
8775,2,9.2,15.43,1718.7,142.55,17.288286
8783,112.05,6.1,42.55,308.6,257.8,20.225349
8784,17.6,4.3,14.59,3574.8,63.01,19.014189
8787,3.4,4.9,10.39,966.5,50.86,20.063861
8789,1.8,3.1,34.42,199.9,108.1,16.96531
8794,26.7,4.3,19.12,71.7,82.8,17.288286
8796,184.773,1.2,15.31,7.1,18.14,19.296793
8797,2.75,19.2,59.44,3460.1,1142.6,15.966103
8799,49.1,3.5,11.62,372,41.04,20.215256
8801,7.6,3.3,13.16,253.2,43.2,20.063861
8802,2.8,1.4,12.32,44.2,17.2,15.703685
8810,2.7,10.5,11.3,52.6,118.98,16.127591
8811,4.4,7.9,31.45,2397.2,247.3,19.528932
8825,3.2,4.4,27.7,193.8,122.07,17.46996
8830,33.1,16.4,11.72,620.3,191.7,18.802236
8833,2.2,9.2,19.8,573.6,181.79,17.954424
8834,58.9,4.7,11.32,43.9,52.69,19.710606
8838,1.567,16.1,69.09,902.6,1115.16,17.813122
8845,14.3,5.9,12.15,341.5,71.9,19.710606
8846,2.897,19.3,15.82,321.2,304.73,17.258007
8847,12.8,1,27.46,142.1,27.1,17.954424
8848,1.7,18.5,68.39,2009,1267.98,18.620562
8849,15.2,7.8,11.77,204,92.23,19.014189
8850,75.2,3.6,11.63,96.4,42.1,20.306093
8851,5.58,158.9,11.08,178.9,1760.6,20.861208
8855,5,6.3,14.68,232.8,91.76,18.711399
8862,1.45,16,17.78,3515.9,284.64,17.813122
8863,1.8,15.7,14.06,1547.1,220.55,17.954424
8867,0.5,20.3,20.66,7547.5,419.3,17.813122
8870,4,24,10.66,216.2,255.65,17.258007
8871,55.4,2.4,12.45,944.6,29.38,20.084047
8873,2,10,21.49,576.8,215.24,17.389216
8874,23.2,3.8,10.25,118.8,39.4,18.872887
8877,2.188,34,67.66,2667.7,2302.39,17.258007
8878,59,6.4,17.56,52.8,112.2,20.255628
8880,1.9,4.7,20.66,1247,98.05,18.095726
8883,2.6,21.7,21.14,1166.8,458.2,17.87368
8892,64,6.5,23.37,45.7,151.5,19.882187
8893,4.8,1.7,28.64,229.7,49.5,17.924145
8895,1.2,9.4,11.44,351.4,107.3,19.155491
8897,1.5,12.1,18.03,128,217.8,12.211507
8898,21.4,5.7,10.14,285.4,58.2,19.912466
8901,2,7.1,22.44,642.7,159.14,17.903959
8903,4.1,1.9,25.49,89.4,48.3,11.727043
8905,34.4,15.9,21.2,36.5,336.12,21.063068
8906,53.6,6.7,31.11,1252.9,209.36,20.649255
8908,7.5,3.8,18.82,5612.8,71.29,20.023489
8909,4,2.3,12.48,251.8,29,17.106612
8910,17.3,3.4,20.53,5.3,69.1,20.275814
8913,0.867,15.9,19.91,326,316.33,17.025868
8914,52.3,6.3,16.73,1586.6,105.83,20.608883
8916,2.142,32.8,19.69,1250.3,645.11,16.803822
8917,4.4,2.3,14.64,26.6,33.2,19.851908
8918,0.4,10.8,43.23,435,466.45,17.722285
8926,3.1,2,34.98,343.6,70.3,17.611262
8927,160.6,5.9,12.18,3169.2,72.29,20.608883
8928,1.8,22.6,74.14,3006.1,1677.03,17.722285
8933,0.4,40.2,43.61,25.5,1751.6,16.551497
8936,0.9,15.4,18.71,265.9,288.5,17.187356
8945,3.7,7.9,28.89,1853.3,228.5,21.517253
8947,1.75,8.8,11.41,1851.3,100.77,17.903959
8952,6.4,8.5,19.33,14,164.1,19.105026
8962,6.9,7.5,25.11,838.2,189.23,12.352809
8970,109.7,3.5,13.16,477.3,46.23,20.023489
8973,2.3,9.6,15.18,138.9,145.9,18.014982
8976,4.6,1.6,33.91,112,54.1,18.014982
8986,12.3,11.1,14.81,750.4,164.42,18.994003
8988,23.5,0.6,40.65,334.2,24.4,18.126005
8992,6.9,2.7,10.05,195.3,27.63,18.448981
8993,6.6,5.7,80.24,1331.8,456.35,18.126005
8994,23.4,15.2,15.04,275.4,229.2,21.941159
9001,6.9,11.5,15.67,359.4,179.54,15.925731
9007,2.6,4,20.88,102.3,82.6,18.994003
9008,0.7,9.4,11.58,305.3,108.96,12.342716
9011,4.2,4.8,18.42,283.8,87.5,14.674199
9016,4.3,6.3,10.94,3.1,69.2,15.925731
9017,7.7,2.5,10.78,58.6,27.1,13.321737
9018,5.5,18.5,16.89,980.6,313.05,15.925731
9021,170,2.5,14.66,171.3,37.1,20.215256
9023,9.5,7.1,92.64,47.2,653.7,20.023489
9025,5.7,6.9,18.41,335.2,126.4,18.368237
9028,151,1.4,10.91,182.6,15.64,20.69972
9039,20.4,1.6,31.34,270.6,49.3,20.69972
9040,115.167,1.3,21.44,17.1,27.1,20.447395
9042,0.1,29.1,23.73,3722.1,691.09,11.787601
9043,1.2,3.7,18.28,53.6,68.2,8.305516
9053,502,1.9,10.34,65.8,19.7,20.114326
9054,3.1,11.3,12.37,741.6,140.19,16.188149
9056,7.8,7.5,27.75,4750.4,208.5,22.809157
9057,123,2.5,10.63,286.7,27.1,20.69972
9059,3.8,8.5,10.91,65.8,93,18.913259
9060,41.3,1,11.08,30.9,11.08,20.69972
9064,33.7,2.8,25.51,251.2,70.3,20.790557
9068,3.2,3.2,15.77,258.3,50.4,17.954424
9069,10,6.4,20.12,906.1,129.64,21.032789
9071,104,2,11.33,24.3,23.1,20.790557
9076,31.8,7.5,31.91,11.9,238.3,20.114326
9077,1.9,19.3,12.45,134.9,240.5,18.126005
9082,36.2,3.6,15.29,376.7,54.55,22.92018
9083,78.65,6.1,14.67,1713.9,89.14,20.528139
9084,7.1,5.9,11.59,47.4,68.08,20.649255
9085,2.2,17.1,16.96,307.2,289.46,19.347258
9086,7.554,4.8,41.12,377.8,197.4,20.467581
9087,8.842,6.6,13.32,149.6,88.59,20.467581
9089,19.7,6.8,10.16,329.3,69.1,20.336372
9091,42.075,5.5,12.54,87.2,68.85,20.49786
9096,106.14,3,26.62,97.6,79.2,18.98391
9097,2.1,43.9,41.98,3562.2,1842.01,18.17647
9098,121.4,7.8,84.87,8.1,666.1,22.354972
9099,13.7,17.8,12.57,915.8,224.32,17.954424
9105,15.9,3.8,30.52,5,117.4,19.246328
9106,0.671,4.4,46.32,401.3,203.5,18.17647
9109,3.7,4.3,10.56,822.5,45.13,20.931859
9115,386.916,1,10.32,54.1,10.32,14.048433
9120,38.5,3.2,22.93,26.1,72.31,21.739299
9124,11.9,23.2,96.11,2314.6,2232.6,19.528932
9129,31.2,2.7,53.34,268.9,144.4,18.630655
9131,3.4,34.1,16.29,261.1,555.1,16.712985
9132,2.8,5.9,31.32,38,185.6,11.363695
9136,2.1,24.7,25.61,473.4,632.2,19.377537
9141,4,9.4,13.13,6066.6,123.7,16.410195
9143,2.4,38.7,41.41,171.5,1603.5,18.68112
9146,34,42.6,13.37,98.2,568.9,21.375951
9153,20,15.9,21,357.6,333,18.226935
9154,21.9,13.3,20.31,1119.2,269.7,21.648462
9155,7.2,3.2,11.13,567,35.91,20.952045
9157,3,36.8,59.05,127.7,2171.4,22.738506
9160,15.4,7.8,28.47,704.2,222,19.912466
9168,43,10.3,11.76,613.7,120.9,20.588697
9169,17.4,13.5,50.59,662.1,680.9,22.859622
9175,39.7,3.4,10.57,17188,35.64,25.433337
9176,25.3,42.3,10.74,214.5,454.4,21.153905
9181,0.6,43.4,10.58,1732.9,458.9,15.966103
9182,272.681,3.7,49.75,849.3,185.5,21.375951
9184,3.1,0.6,40.54,14,24.9,20.649255
9187,34.367,7.7,15.14,11436.8,116.6,25.917801
9190,9.7,15.9,10.43,528.8,166.3,21.426416
9194,7.4,22.8,61.13,7615.1,1390.9,14.805408
9195,5.3,17.6,10.15,319.7,179,21.426416
9196,36.5,18.4,10.26,450,188.6,21.063068
9197,54.823,20.4,50.01,533.6,1018.5,22.940366
9198,49.58,2.3,10.82,497.2,24.7,21.870508
9199,8,7.9,13.77,346.9,109.2,21.113533
9205,28.7,8.6,12.81,419.3,110.6,24.343293
9206,5.2,30.6,12.31,1052.2,376.2,9.869931
9207,11.9,19.8,16.22,1249.2,321.3,23.788178
9211,29.9,28.6,10.44,416.5,298.7,22.657762
9212,5.1,21.1,12.93,582.9,273.3,11.787601
9217,35.2,30.2,41.91,588.8,1266.2,23.313807
9221,4.2,11.9,37.49,370.6,446.7,20.669441
9222,36.8,9.1,23.97,2,219.1,21.375951
9224,35.9,64.9,42.87,300.4,2784,25.019524
9226,29.45,23.6,40.18,545.3,949.8,24.464409
9228,6.4,21.4,65.88,387.1,1412.3,25.019524
9229,6,13.5,40.19,497,544,22.556832
9230,5.6,2.4,11.02,0.4,26.15,24.605711
9231,4.8,26.4,34.33,2136.4,907.8,24.716734
9232,39.9,16.1,28.28,711.5,454.8,24.847943
9235,3.4,32.7,33.68,136.2,1102.7,21.91088
9237,14.7,11.9,16.55,736.3,197.4,24.767199
9238,19.2,23,13.66,542,314,24.43413
9241,24.1,28.7,10.16,105559.9,291.85,12.796901
9252,3.2,38.5,15.66,2005.9,603.3,22.950459
9262,16.875,17,44.05,558,750.3,23.52576
9264,154,10.3,73.03,744.1,749.8,23.919387
9267,8,69.1,43.21,832,2985,21.486974
9269,14.3,10.1,30.27,744.8,304.5,25.049803
9273,11.4,21.4,96.44,648.8,2064.8,25.100268
9274,12,26.3,15.7,313.6,412.5,23.566132
9275,18.2,14.1,16.02,352.9,226.3,12.645506
9276,0.9,76.5,19.35,463.1,1480.2,22.970645
9281,1.1,58.2,10.32,15.1,600.52,31.408393
9285,0.95,38.2,14.39,67.7,549.07,31.408393
9287,4,13.3,68.58,2.1,911.2,24.575432
9288,2.2,19.6,14.61,29.6,286.2,17.580983
9289,20.95,49.6,48.76,59576.9,2419.3,16.854287
9294,66.6,58.8,23.81,373.6,1399.5,24.767199
9298,1.2,24.5,52.18,336.6,1278,25.554453
9299,110.867,14.8,82.73,580.1,1221.4,26.725241
9300,2.5,27.9,58.74,162.6,1637,26.25087
9301,1.333,21.4,23.09,1063.8,493.4,17.308472
9308,108.6,9.2,68.84,26,632.8,23.667062
9313,4.972,33.7,71.35,766.6,2407.8,25.181012
9316,13.335,24.4,21.77,204.1,531.34,25.584732
9321,5.1,11.5,58.47,15.1,672.2,23.455109
9322,3.8,30.8,79.42,440.6,2446,24.070782
9323,10.7,107.6,15.69,2349.3,1688.6,17.116705
9328,19.4,25.9,79.63,91.5,2063.1,26.483009
9329,4.167,11.8,12.45,2630.1,146.8,26.705055
9330,75.75,43.3,59.54,281.5,2580.4,22.970645
9336,22.978,11.9,13.22,28.7,157.3,23.061482
9338,39.709,5.9,12.94,146.5,75.91,24.060689
9343,11.6,85.9,34.96,3304.7,3002.6,24.93878
9344,35.865,54.9,36.97,659.2,2031,24.060689
9350,68.8,8.3,24.52,710.4,204.2,26.109568
9351,71.267,14.6,10.62,199.7,155.5,22.859622
9354,1.6,27.8,31.46,2397.3,874.7,23.303714
9355,1.6,21.9,22.68,828.3,497.1,25.352593
9358,15.7,22.1,20.52,1305.4,453.3,27.05831
9359,92,10.8,19.14,13.1,206,23.919387
9364,11,28.2,11.29,268.4,318.2,27.169333
9366,11.9,8.4,36.15,27.3,304,24.252456
9368,2.7,7.9,39.05,2.6,310.3,22.496274
9371,19.1,22.2,23.71,227.4,527.3,25.968266
9372,114.6,8,20.44,327.3,163.8,27.56296
9373,23.9,7.8,34.99,707.4,272.6,26.664683
9377,9.833,13.9,18.81,2148.8,261.4,27.673983
9382,12.1,7.4,53.08,627.2,391.7,25.998545
9384,18.4,10.4,12.54,154.2,130.4,24.252456
9386,9.6,11.1,18.68,559.2,206.94,26.977566
9389,5.3,7.4,43.73,20.6,323.7,24.343293
9397,6.6,4.5,11.18,63.5,50.04,29.440258
9399,30,3.8,37.31,7.3,141.18,22.889901
9401,20.1,8.6,36.75,61.9,315.8,25.261756
9402,28.9,6.3,19.64,1373.1,123.38,26.987659
9404,10.3,25.4,59.01,407.3,1496.8,24.252456
9411,15.333,32.8,47.87,400.4,1571.6,26.271056
9412,0.8,32.9,62.65,445.2,2060.8,24.464409
9418,12.6,19.6,43.16,1717.4,844.9,27.340914
9419,8.833,44.7,28.67,3728.6,1282.8,27.532681
9420,45.2,24.5,93.21,178.9,2288,25.715941
9422,4.483,40.7,40.29,1827.3,1641.8,27.028031
9427,12.8,4.3,62.05,5.5,266.4,24.454316
9428,32,14.4,55.76,24.8,801.8,24.787385
9430,6.4,34.7,68.71,2656.1,2383,27.56296
9432,8.9,24.3,40.44,707.1,983.5,27.996959
9436,2.3,12.3,18.05,112.7,222,24.625897
9437,3.1,21.1,24.96,98.6,525.5,24.03041
9440,6.4,85.5,15.47,1556.4,1323.5,25.069989
9443,30.2,39.2,65.48,1209.4,2569.1,28.077703
9444,12,17,11.87,890.3,202.3,27.421658
9450,8,44.1,21.22,1227.3,936,27.684076
9451,30.4,10.1,32.39,8.8,326.9,24.787385
9452,14.392,8.3,89.93,54.1,746.3,23.868922
9453,16.8,10.1,28.27,84.3,285.6,25.191105
9457,12,13.9,93.17,995.8,1293.3,27.46203
9458,15.4,10.8,19.72,5.3,212.2,24.565339
9460,6.167,9,79.89,422.8,719.9,28.350214
9464,26.1,6.3,46.94,53.2,296,25.524174
9465,43.6,15.4,60.29,105.8,931.3,26.412358
9467,20.167,41.7,12.12,1196.7,505.7,27.684076
9468,18.743,33.7,23.53,2809.3,792.5,28.350214
9473,250,10.1,26.22,375,265.2,26.412358
9477,6.9,12.5,23.77,89,296.8,26.775706
9478,23.85,15.1,25.89,89.8,392.2,26.341707
9480,3.1,22.8,10.8,4366.9,246,26.775706
9482,23.5,33.2,11.8,1669.4,391.6,27.926308
9483,12.322,8,19.21,830.1,154.2,25.665476
9486,84.267,8.8,12.95,430,113.5,26.614218
9487,25.3,25.9,15.98,977.2,414.2,27.451937
9490,10.933,76.6,13.05,2590.4,999.1,26.816078
9496,27.2,44.8,22.79,1016.5,1021.7,27.633611
9498,2.8,14.2,47.05,806.5,666.5,27.320728
9499,12.6,29.6,28.97,4175.1,858.9,27.05831
9500,4.467,2.7,62.41,13.9,165.84,25.352593
9503,3.833,21.8,61.62,5695.3,1341.4,27.098682
9508,3.9,53.3,23.46,2228,1250.5,28.158447
9511,43.867,7.3,18.05,527.3,132.58,25.292035
9514,20.9,15.1,80.48,408.3,1211.3,26.170126
9515,11.82,15.4,10.95,340.3,168.4,24.212084
9516,6.433,6,83.51,9,501,24.958966
9518,62.4,16.5,11.96,956.4,197.4,24.817664
9524,4.475,77.5,51.32,515.4,3975.5,26.846357
9526,3.4,20,43.7,972.3,872,26.079289
9528,24.2,29.1,43.58,843.7,1269,26.694962
9540,31.919,9.3,37.3,51,347.6,26.341707
9553,29.3,5.6,14.44,2454.2,80.15,24.625897
9561,52.5,5.8,69.05,383.6,400.72,24.706641
9562,41,8.6,18.56,23.9,160.4,24.706641
9563,127,5.3,22.01,587.3,115.7,24.625897
9564,27.9,1,36.35,107.2,36.35,26.190312
9566,35.7,4.7,20.34,41.9,94.95,24.565339
9584,10.5,1.8,15.71,3.6,28.96,24.676362
9593,49.2,4.3,15.68,368.8,68.19,25.130547
9594,8.487,8.4,30.1,70.1,252,26.917008
9596,30.033,6.1,33.18,30.3,201.52,25.332407
9605,15.1,24.3,55.08,1146.3,1335.9,28.077703
9606,6.2,1,14.94,3.9,14.94,25.473709
9609,5.4,1.4,10.59,4.6,14.77,25.473709
9612,11.3,5.3,64.49,375.1,344.1,25.332407
9615,14.9,11.1,59.14,234.4,655,27.573053
9618,125,3,18.14,152.3,54.3,25.362686
9621,29,5.6,28.63,672.6,159.81,25.191105
9626,33.2,5.7,25.5,211.4,146.52,24.969059
9627,19.5,4.8,13.68,352.1,66.23,25.191105
9636,43,2.4,91,149.3,219.13,24.93878
9640,29.849,5.1,23.05,1170.4,117.2,24.787385
9641,157.95,1,16.34,293.6,16.34,25.433337
9763,22.7,30.6,72.49,1821.7,2220.79,26.523381
9827,15.86,58.9,20.68,41567.9,1217.51,24.565339
11264,1.5,17.3,50.54,518.7,873.49,8.456911
11518,17,13,17.02,9474.2,221.01,8.08347
12398,1.4,15.9,32.5,1851.7,516.93,13.210714
12598,155,6,12.15,2335.7,73.25,13.493318
12603,17.8,13.5,13.44,3111.3,180.91,12.998761
12726,27.5,7.6,11.39,1984.4,86.24,14.088805
12809,4.203,7.2,23.14,1897.5,167.22,14.088805
12826,6.1,16.9,18.9,1234.9,318.81,12.42346
12875,8.25,16.6,36.74,672.5,609.56,14.310851
13160,8.2,9.5,16.13,162.1,153.2,13.240993
13162,5.8,8.1,16.09,2097.3,130.83,14.694385
13172,2.3,4.7,37.67,709.1,177.24,14.84578
13182,3.8,5.3,24.63,301.8,131.65,14.472339
